loutput,lseeds,lland,llabour,lfertilizer,lpesticide,diste1,participation
7.7,4.83,1.61,4.6,5.73,5.84,3.5,1
7.15,4.03,0.41,4.17,5.02,4.91,3.28,1
5.48,3.62,0,3.43,4.33,4.19,3.35,1
6.43,4.25,0.92,4.04,4.75,3.39,3.75,1
6.31,3.64,0.69,3.18,4.87,3.33,3.79,1
6.38,3.14,0.69,3.83,6.43,4.77,3.29,1
4.97,1.5,-0.69,2.48,4.09,3.09,3.29,1
5.62,3.22,0,3.04,4.75,3.53,3.86,1
7.37,4.51,1.39,4.72,5.56,4.84,3.89,1
6.08,3.05,0.69,3.87,4.23,3.58,3.5,1
5.77,3.53,0,3.56,4.42,3.64,3.79,1
6.25,4.87,1.39,3.99,6.08,5.5,3.88,1
7.32,4.67,1.7,4.56,5.46,4.67,3.85,1
7.27,4.09,0.69,3.26,4.96,4.5,3.35,1
7,3.71,0.22,4.09,4.81,4.48,3.92,1
5.11,2.53,-0.69,3.66,4.38,2.77,3.75,1
7.29,4.44,1.1,4.39,5.55,5.64,3.81,1
6.09,3.69,0,3.3,4.57,3.22,3.79,1
7.66,4.3,1.25,4.93,5.77,5.3,3.9,1
5.98,3.18,0,3.5,4.9,4.69,3.5,1
7.04,4.23,0.69,4.22,5.05,5.29,3.81,1
6.8,4.2,0.56,4.14,4.72,4.12,3.9,1
6.22,3.47,0.69,3.56,5.09,3.37,3.79,1
7.19,4.3,0.69,4.42,5.08,4.84,3.69,1
8.16,3.69,1.61,3.78,5.88,5.3,3.85,1
6.52,3.99,0.92,4.33,4.71,4.2,3.79,1
7.66,3.97,1.39,5,5.82,5.47,3.7,1
7.55,3.71,1.18,4.91,5.73,5.59,3.7,1
5.17,3.22,0,3.87,4.85,2.77,3.89,1
7.19,4.87,1.39,4.74,5.75,4.38,3.62,1
6.78,3.26,0.69,4.28,5.28,4.71,3.7,1
6.34,3.47,0,3.69,4.34,3,3.79,1
6.81,4.51,1.39,4.54,5.59,4.03,3.79,1
7.02,4.37,0.69,3.83,5.09,4.33,3.75,1
8.71,4.98,0.64,4.8,5.56,5.83,3.92,1
5.89,3.75,0.3,3.81,5.01,3.58,3.72,1
7.24,4.05,0.93,4.33,5.59,4.56,3.79,1
8.66,4.84,2.3,5.62,6.54,5.83,3.75,1
6.74,3.78,0.41,4.14,4.92,4.43,3.9,1
6.31,2.82,0.69,3.61,5.04,4.27,3.64,1
5.45,3.47,0,3.56,4.14,3,3.89,1
7.61,4.7,1.25,4.91,5.92,4.77,3.68,1
5.98,3.22,0,3.14,4.44,3.5,3.14,1
7.07,3.27,1.1,4.42,5.46,4.38,3.69,1
7.64,4.5,0.69,3.66,5.33,4.83,3.16,1
6.88,3.91,1.1,3.64,5.4,4.77,3.54,1
6.45,3.18,0.7,3.85,5.47,3.89,3.16,1
6.73,4.17,0.69,3.83,4.99,3.68,3.51,1
7.31,4.13,1.54,5.01,4.89,4.69,3.66,1
6.17,3.09,0.69,3.95,5.55,4.66,3.51,1
7.27,4.62,1.85,4.32,5.86,4.9,3.54,1
7.33,4.25,1.1,4.62,5.11,4.53,3.14,1
8.11,5.04,1.95,5.17,6.02,5.1,3.73,1
8.42,4.48,1.79,5.4,5.34,5.89,3.73,1
7.14,4.44,1.1,4.41,5.34,5.55,3.54,1
6.6,3.85,1.01,4.32,6.24,5.21,3.79,1
6.75,4.5,0.69,3.91,5.32,4.74,3.54,1
7.23,4.53,1.1,4.28,5.62,5.44,3.54,1
6.78,3.93,0.69,3.95,6.07,3.87,3.16,1
8.39,5.37,2.08,5.42,6.26,5.46,3.14,1
7.19,4.25,0.92,4.5,5.42,4.43,3.68,1
6.23,3.22,0,3.22,4.44,3.99,3.75,1
6.09,3.47,0,3.78,4.44,2.94,3.73,1
7.41,4.17,0.69,4.52,5.05,3.85,3.85,1
7.01,4.55,0.92,4.68,5.6,4.87,3.53,1
7.55,4.19,0.69,4.48,5.55,5.59,3.53,1
5.7,4.07,0.69,4.36,5.19,4.86,3.6,1
5.98,3.18,0,3.43,4.64,4.52,3.92,1
7.76,5.3,1.84,5.17,6.22,5.03,3.85,1
6.92,4.83,1.39,4.99,4.68,3.95,3.88,1
6.58,2.83,0.69,3.99,4.94,4.08,3.93,1
6.65,3.91,0.44,4.33,5.22,4.09,3.88,1
6.64,4.94,1.39,4.37,5.53,4.2,3.88,1
6.78,3.78,0.69,3.09,5.09,4.09,3.84,1
7.26,4.65,1.5,5.06,5.58,4.45,3.93,1
6.93,3.38,0.48,3.93,4.7,3.26,3.53,1
7.1,3.58,0.41,4.09,4.43,3.63,3.61,1
6.73,5.57,1.1,4.83,5.27,5.01,3.58,1
6.48,3.47,0.22,4.04,4.84,4.62,3.9,1
7.07,3.91,0.41,4.06,4.99,4.32,3.9,1
7.03,3.93,0.41,4.03,4.89,4.35,3.9,1
7.21,3.89,0.56,4.14,5.08,4.51,3.49,1
7.22,4.68,0.92,3.74,5.49,5.47,3.59,1
6.91,4.17,0.69,4.36,5.04,5.19,3.5,1
6.29,3.99,0.69,4.26,4.75,2.4,3.52,1
6.86,4.3,0.69,3.85,5.03,5.11,3.5,1
7.13,4.01,0.69,4.16,5.06,4.61,3.92,1
6.11,3.53,0,3.14,4.68,3.99,3.14,1
6.4,4.17,0.69,3.4,4.91,3.81,3.48,1
7.97,4.38,0.32,4.42,5.13,5.24,3.92,1
6.12,4.14,0.23,3.4,6.03,4.27,0.77,1
6.98,4.12,1.1,4.49,5.29,4.52,1.03,1
8.44,4.37,1.79,4.53,5.27,4.53,3.31,1
5.39,2.4,-0.69,2.89,4.61,4.95,3.54,1
7.24,4.27,1.1,4.74,5.29,4.25,3.92,1
6.9,3.35,0.69,4.06,5.82,3.21,3.05,1
6.77,4.43,0.69,3.74,4.95,4.11,2.64,1
7.24,4.44,1.1,4.47,5.44,5.47,3.05,1
7.9,4.38,0.22,4.45,5.11,5.14,3.92,1
7.24,4.44,1.1,4.29,5.59,5.61,3.92,1
6.8,4.01,1.1,3.4,4.93,4.06,3.86,1
6.61,3.85,0.63,3.43,4.87,4.05,3.89,1
7.61,4.44,0.81,4.36,5.44,4.19,3.23,1
6.68,3.81,0.69,3.97,4.84,4.2,3.23,1
6.77,4,1.45,4.96,6.12,5,3.93,1
6.38,3.98,0.92,4.53,5.28,3.82,3.61,1
7.6,3.79,1.1,4.8,5.08,5.12,3.85,1
7,4.25,0.69,4.04,5.04,4.08,3.88,1
6.96,4.13,0.69,4.3,5.39,4.43,3.2,1
6.73,4.25,0.69,4.49,4.84,4.32,3.88,1
6.39,3.72,0.69,4.62,5.04,3.73,3.13,1
6.91,4.25,0.69,4.13,4.96,4.16,3.72,1
6.43,3.48,0,3.95,4.3,3.19,3.85,1
6.92,4.05,0.92,4.53,5.18,4.11,3.92,1
6.28,3.18,0.2,3.97,4.65,4.02,3.88,1
7.21,4.25,1.25,4.23,4.93,4.13,3.92,1
6.75,3.3,0.69,4.34,5.3,4.81,3.53,1
7.64,4.41,0.81,4.01,5.53,5.51,3.53,1
6.52,4.41,0.72,4.01,4.65,4.01,2.75,1
6.02,3.47,1.39,4.29,4.64,3.26,0.77,1
6.27,4.3,1.39,3.78,6.72,5.01,0.77,1
7.25,2.48,1.79,3.09,5.51,3.81,1.89,1
7.34,4.67,1.1,4.19,5.35,4.45,1.58,1
8.34,4.83,2.3,5.98,6.89,6.24,1.58,1
3.26,1.79,-1.39,2.71,3.7,3.42,1.43,1
6.12,3.14,0.69,3.4,5.17,3.71,0.81,1
6.85,4.75,1.42,4.39,5.91,5.25,1.89,1
6.65,4.09,1.1,4.74,4.94,3.91,1.89,1
6.25,3.43,0.21,2.94,4.37,3.87,1.89,1
6.68,3.81,0.41,4.16,5.2,4.93,3.34,1
7.39,4.41,1.1,4.62,5.41,5.24,3.34,1
7.22,4.13,1.5,5.07,5.21,5.14,3.31,1
6.36,4.08,0.69,3.74,5.17,4.13,1.89,1
7.26,3.4,1.1,4.29,5.87,5.18,1.58,1
6.77,3.71,1.1,4.14,4.95,4.31,1.58,1
6.81,4.26,1.1,3.81,5.04,4.64,1.58,1
7.49,3.78,1.1,4.13,5.45,4.4,3.34,1
7.08,4.09,0.41,4.2,4.94,4.25,1.89,1
5.12,2.3,-0.69,3.43,3.69,3,1.43,1
6.96,3.74,1.39,4.7,5.51,5.05,3.41,1
6.87,4.05,1.1,4.67,5.3,4.3,3.41,1
5.97,3.14,0.22,4.62,4.01,3.86,1.89,1
7.55,4.34,3.43,5.48,5.7,7.02,3.34,1
7.78,4.58,1.79,4.84,5.82,3.74,3.34,1
6.51,3.76,0.69,3.89,5.01,3.95,3.22,1
7.46,4.25,0.81,4.58,5.14,4.79,1.89,1
7.96,4.71,2.14,5.46,6.19,4.48,1.43,1
6.67,4.49,1.12,4.38,5.16,4.4,1.43,1
6.04,3.18,0,3.64,4.48,4.62,3.44,1
6.33,3.69,0,2.94,4.61,3.9,1.67,1
7.14,4.48,1.27,4.34,5.65,5.46,2.14,1
8.09,4.24,1.95,4.09,6.19,4.75,2.14,1
7.42,3.43,1.79,4.09,4.88,3.97,1.69,1
7.11,4.89,1.79,4.96,5.85,4.98,1.69,1
7.85,5.95,0.69,4.77,5.99,6.22,1.69,1
6.98,3.68,1.1,4.03,5.6,2.89,2.46,1
7.06,3.36,0.92,3.4,5.02,4.09,4.68,1
6.89,4.23,0.69,4.16,5.29,5.23,4.74,1
7.46,4.62,1.25,4.68,5.7,4.38,4.72,1
6.6,3.78,0.92,4.08,4.99,3.81,4.72,1
5.68,3.47,0,3.76,4.25,3.18,4.68,1
7.49,3.26,1.61,5.31,6.27,5.45,4.73,1
8.83,4.68,1.87,3.85,5.81,5.44,4.54,1
8.08,4.58,2.1,4.11,6.66,6,4.54,1
8.35,5.06,2.17,5.61,5.74,5.15,4.5,1
7.26,4.88,1.15,3.99,5.18,5.91,4.5,1
8.17,5.31,2.08,4.88,6.4,6.4,4.52,1
7.9,3.94,2.3,4.36,6.89,6.82,4.52,1
7.57,4.87,1.39,4.42,5.52,5.47,4.52,1
6.4,3.84,0.69,4.2,5.18,3.91,4.72,1
6.84,4.17,0.69,4.01,5.14,5.11,3.44,1
6.73,3.74,1.39,4.66,5.42,4.75,4.72,1
8.04,4.77,1.98,5.23,6.11,4.16,4.51,1
7.76,3.74,1.39,4.91,5.42,4.98,4.51,1
6.49,3.88,0.41,4.25,5.03,3.99,4.54,1
7.12,3.85,1.39,2.2,6.16,3.47,4.68,1
7.26,4.58,0.69,4.2,5.28,5.2,4.54,1
8.06,5.54,1.79,4.91,5.97,5.01,4.57,1
6.71,3.13,0.69,3.69,5.63,3.93,1.43,1
7.2,4.5,1.39,4.91,5.47,5.38,4.51,1
6.57,3.99,1.39,4.48,5.82,5.27,1.58,1
6.78,4.43,0.92,4.28,5.21,4.01,1.58,1
7.74,3.89,1.79,5.39,6.19,5.76,4.52,1
6.97,4.23,1.5,4.41,5.68,4.87,4.51,1
6.58,4.17,0.69,4.38,5.11,3.78,4.46,1
6.89,3.82,0.26,4.08,5.06,4.04,4.52,1
6.26,4.41,1.1,4.52,5.77,4.69,4.5,1
6.93,4.06,0.56,4.25,4.94,4.32,4.77,1
7.45,4.54,1.57,5.31,5.85,4.34,4.77,1
6.09,1.32,0.69,3.5,4.26,3.39,4.57,1
7.15,3.95,0.69,3.95,5.52,4.01,4.53,1
7.11,4.44,0.92,4.38,5.68,3.85,4.45,1
6.47,1.39,1.39,4.79,5.74,4.96,4.45,1
7.99,4.75,2.06,4.89,5.87,4.61,4.46,1
7.36,4.53,1.1,4.26,5.69,5.36,4.53,1
7.15,3.78,0.69,4.13,4.85,4.98,4.57,1
